Sentence,QorA,,,,,,,,,,,,
What are some annual festivals in Taipei ,1,,,,,,,,,,,,
Is english an intonation  language?,1,,,,,,,,,,,,
Are Various sporting events popular in Finland  ,1,,,,,,,,,,,,
" on my 2000 mile trip gas mileage in Florida, Georgia, and South Carolina was 32 .",0,,,,,,,,,,,,
Why does Arabic heavily influence European languages ,1,,,,,,,,,,,,
"Location was great come out of tube station, take first turn right and walk 150 yards   you're there !",0,,,,,,,,,,,,
How to travel to work from the city to Moscow ,1,,,,,,,,,,,,
" Definitely easier to use than the IPod Touch, and the video camera feature is awesome .",0,,,,,,,,,,,,
Why do wolves howl ,1,,,,,,,,,,,,
"In 1908, the year  of his death, was Becquerel elected Permanent Secretary  of the Académie  des  Sciences?",1,,,,,,,,,,,,
Where is the National Orchid Garden ,1,,,,,,,,,,,,
The location is perfect with many everything you need just outside the door including a great French patisserie and coffee shop .,0,,,,,,,,,,,,
 The seats are very comfortable & supportive .,0,,,,,,,,,,,,
Is the electrolyte sulphuric acid?,1,,,,,,,,,,,,
 Has all the features of my bigger laptop except a large screen .,0,,,,,,,,,,,,
Where was Michael Faraday born ,1,,,,,,,,,,,,
"All in all, a normal chain hotel on a nice location  , I will be back if I do not find anthing closer to Picadilly for a better price .",0,,,,,,,,,,,,
 n you can put music videos pictures .,0,,,,,,,,,,,,
What body of water lies to the south of Finland ,1,,,,,,,,,,,,
Was Isaac Newton British ,1,,,,,,,,,,,,
How many occupation zones was Germany divided into after the war ,1,,,,,,,,,,,,
Which two sports events did the Olympiastadion host ,1,,,,,,,,,,,,
 The mileage seems to be good too as the fuel indicator still shows approx .,0,,,,,,,,,,,,
 A backlighted display is not easy on the eyes for hours on end and the Kindle 2 display is as nice to read as any traditional book .,0,,,,,,,,,,,,
Is the lyre a stringed musical instrument ,1,,,,,,,,,,,,
does the charge reside on the interior of a charged conductor ,1,,,,,,,,,,,,
 Using the smaller font sizes causes eye strain except in daylight conditions with open windows .,0,,,,,,,,,,,,
Is Ghana's head of state John Agyekum Kufuor ,1,,,,,,,,,,,,
 FM radio and a   video camera are pretty darn cool .,0,,,,,,,,,,,,
" However, the 08 Accord is well designed, handles well for its size and the comfort level is so much better than the TL .",0,,,,,,,,,,,,
How often do turtles breed?,1,,,,,,,,,,,,
What is the official religion in the country ,1,,,,,,,,,,,,
What allows the butterfly to evade predators ,1,,,,,,,,,,,,
What quartered on March ,1,,,,,,,,,,,,
Egyptian Arabic is spoken by how many in Egypt ,1,,,,,,,,,,,,
"Stayed at this hotel, for one night, as the location was ideal for our night out at the Royal Albert Hall   .",0,,,,,,,,,,,,
What was Michael Faraday`s profession?,1,,,,,,,,,,,,
Are Indian concert flutes available in standard pitches?,1,,,,,,,,,,,,
 Gas mileage now is in the high 20s and that should improve with time .,0,,,,,,,,,,,,
Is mandarin spoken Chinese distinguished by its high level?,1,,,,,,,,,,,,
" It had hesitancy during acceleration, bursts of excessive RPMs in cruise control, and only average mileage .",0,,,,,,,,,,,,
 The rooms are a standard European size   but they are kept spotlessly clean and the hotel couldn't be in a better location .,0,,,,,,,,,,,,
 My old 1989 Camry is still running well giving great mileage 40,0,,,,,,,,,,,,
Is the Breeze Eazy' ' method sometimes used to teach younger students ,1,,,,,,,,,,,,
Is there a becquerel crater on the moon and a becquerel crater on mars ,1,,,,,,,,,,,,
 I note that a competitor is coming out with a Homer Simpson version of the GPS voices .,0,,,,,,,,,,,,
"What defended slavery, owned slaves and S08_set up a Sunday school for them?",1,,,,,,,,,,,,
Where is Melbourne situated ,1,,,,,,,,,,,,
Avogadro did not actually use what word ,1,,,,,,,,,,,,
" As new netbooks come out, look for the ones with matt screen and see if it has a good feature set and price .",0,,,,,,,,,,,,
Location is the only thing it has going for it .,0,,,,,,,,,,,,
" the screen is STUNNING, and if you've got a bright light shining down on it, you've got a choice :",0,,,,,,,,,,,,
In what country are dragonflies used as a food source ,1,,,,,,,,,,,,
",  Better user interface features like being able to view the desktop with one mouse gesture to the bottom right of the screen .",0,,,,,,,,,,,,
James Watt was born where?,1,,,,,,,,,,,,
" Although the location is a bit removed from the West End, it is only a block away from the Gloucester Road underground, with three train lines that will take you almost anywhere in the city in 15 minutes or less .",0,,,,,,,,,,,,
Are the prefixes en- and em- always nasalized ?,1,,,,,,,,,,,,
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB-  ,1,,,,,,,,,,,,
Is Finnish an official language of the European Union ,1,,,,,,,,,,,,
" Drivers seat not comfortable, the car itself compared to other models of similar class .",1,,,,,,,,,,,,
Was the pan flute used in Greece ,1,,,,,,,,,,,,
How old was Celsius when he died?,1,,,,,,,,,,,,
Have elephants been used as working animals ,1,,,,,,,,,,,,
Was Nikola Tesla close friends with Mark Twain ,1,,,,,,,,,,,,
Why did German troops occupy Copenhagen?,1,,,,,,,,,,,,
The video is surprisingly good !,0,,,,,,,,,,,,
What is concentrated in the southern part of the country ,1,,,,,,,,,,,,
" Yes, the standard rooms are small for two people   and, yes, they seem to have a lot of trainee staff at the front desk, who struggle sometimes with the language, and yes some of the rooms are affected by traffic noise, but for a good location and a no, frills room provider, it is hard to beat .",0,,,,,,,,,,,,
How many years ago was it when he became a professor of physics at the University of Turin?,1,,,,,,,,,,,,
Is modern Korean written in columns or rows ,1,,,,,,,,,,,,
 i couldnt think of a single thing  this ipod is reallly great you can shoot videos listen to the radio plus you have 16 gigs of memory it is aweosme i really love it because its still as small as the last one only with a bigger screen and great color,0,,,,,,,,,,,,
How long do most foxes live?,1,,,,,,,,,,,,
Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker ,1,,,,,,,,,,,,
Which embassy in Nairobi was bombed in August 1998 ,1,,,,,,,,,,,,
Do scholars rank lincoln among the top three presidents ,1,,,,,,,,,,,,
Where do sea otters live?,1,,,,,,,,,,,,
Is spanish language of the European Union?,1,,,,,,,,,,,,
" zoom in or zoom out of a screen  , but on occasion it will zoom when you don't want or expect it to because of an inadvertent gesture or touch by a thumb, etc .",0,,,,,,,,,,,,
When was Charles-Augustin de Coulomb permanently stationed in Paris?,1,,,,,,,,,,,,
What makes San Francisco among the top-ten North American destinations for conventions and conferences,1,,,,,,,,,,,,
When was Michael Faraday born?,1,,,,,,,,,,,,
When did Berlin give up its status as a free Hanseatic city ,1,,,,,,,,,,,,
Is the genius of the average the most convincing proof of $ his strength ,1,,,,,,,,,,,,
Did Alessandro Volta invent the remotely operated pistol ,1,,,,,,,,,,,,
 The screen is small but still large enough to read comfortably   .,0,,,,,,,,,,,,
" I first averaged 23 mpg during the break in period, but ever since then the mileage have increased slowly .",0,,,,,,,,,,,,
The location is fantastic near Gloucester Station which was very handy for all our needs in transport !,0,,,,,,,,,,,,
Did eucalypt forests grow in the place of rainforests ,1,,,,,,,,,,,,
Who laid down the Peter and Paul Fortress ,1,,,,,,,,,,,,
"What do kangaroos use for ""crawl-walking """,1,,,,,,,,,,,,
Are penguins afraid of humans ,1,,,,,,,,,,,,
"Was Coulomb born in Angoulême, France, to a well to do family?",1,,,,,,,,,,,,
What was Amedeo Avogadro`s profession?,1,,,,,,,,,,,,
 The non TTS voice is more pleasant .,0,,,,,,,,,,,,
Is french language of 20  %?,1,,,,,,,,,,,,
What is the primary domestic source of water supply ,1,,,,,,,,,,,,
" Comes in different colors, make videos, and holds alot of music .",0,,,,,,,,,,,,
We thought this was a great value for such a great location .,0,,,,,,,,,,,,
Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,1,,,,,,,,,,,,
Who created Monas Park,1,,,,,,,,,,,,
How are western-style xylophones characterised?,1,,,,,,,,,,,,
Mexico contains the largest population of what?,1,,,,,,,,,,,,
"What does ""Era of Good Feelings"" refers to ",1,,,,,,,,,,,,
 wrote  it has crashed unexpectedly and displayed the blue screen of death numerous times .,0,,,,,,,,,,,,
An extremely comfortable and capable sedan .,0,,,,,,,,,,,,
" The screen resolution can be a little small at times, but that is a sacrifice I was willing to make .",0,,,,,,,,,,,,
What is Santiago?,1,,,,,,,,,,,,
Why did Grant think that war was unjust?,1,,,,,,,,,,,,
"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords ",1,,,,,,,,,,,,
" So far not super impressed with gas mileage, and comfort, well lets just say my dealership just ordered a new seat cushion for me today .",0,,,,,,,,,,,,
Awesome location comfortable rooms .,0,,,,,,,,,,,,
Can speakers of modern Malay understand Old Malay ,1,,,,,,,,,,,,
 The screen rotation angle is good enough for putting the netbook on desktop .,0,,,,,,,,,,,,
Who were the Orkhon inscriptions built for ,1,,,,,,,,,,,,
",  Great location  ,  Very good selection of food for breakfast buffet .",0,,,,,,,,,,,,
Is it true that this contained the beginnings of the laws of motion ,1,,,,,,,,,,,,
 In full screen browsing it is so much better that I would never go back .,0,,,,,,,,,,,,
What is the SI unit measuring magnetic flux density or magnetic induction?,1,,,,,,,,,,,,
 The product is very useful if you want to go out for a jog and listen to your music or watch some videos if you stuck on a bus or subway .,0,,,,,,,,,,,,
" The hotel has an unbeatable location in a very nice part of South Kensington ,  only 1 block from the Gloucester Road station   .",0,,,,,,,,,,,,
Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,1,,,,,,,,,,,,
Who was a farmer and later a land surveyor for the government ,1,,,,,,,,,,,,
" i hate itunes, but it seems to be a necessary evil in order to tag say a video as music and not a movie, so though i originally started with 3rd party apps for syncing i have since switched to itunes .",0,,,,,,,,,,,,
What is Canada's national unemployment rate ,1,,,,,,,,,,,,
When did he marry louise désirée lorieux ,1,,,,,,,,,,,,
 There are many features that allow me to personalize my working environment .,0,,,,,,,,,,,,
" Good gas mileage, comfortable seating, lots of leg room .",0,,,,,,,,,,,,
Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918 ,1,,,,,,,,,,,,
Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,1,,,,,,,,,,,,
Who referred to the cello as?,1,,,,,,,,,,,,
"As others have noted, I wish the screen wasn't so reflective .",0,,,,,,,,,,,,
" Apart from that, the staff were friendly and the location is great .",0,,,,,,,,,,,,
What are characteristic features of Finnish ,1,,,,,,,,,,,,
" The text, to, speech is very good, with very clear voices .",0,,,,,,,,,,,,
Was the xylophone associated with the folk music of the United States by the 19th century ,1,,,,,,,,,,,,
" The location was perfect, just a minute from the Gloucester Rd .",0,,,,,,,,,,,,
" fm radio lots of storage for music, videos and pictures alarm clock to your tunes blue color lock button so you don't accidentally turn it off on ease of use Cons :",0,,,,,,,,,,,,
Did continental European immigrants not S08_settle the prairies  ,1,,,,,,,,,,,,
What happened in 1785 ,1,,,,,,,,,,,,
"Older English sources used the name ""Korean"" to refer to what ",1,,,,,,,,,,,,
" Absolutely got a great car, roomy, comfortable, great ride for a nice price .",0,,,,,,,,,,,,
" 10  can be enough for some, but it was kinda small for me, so the thing I did was try to max out the screens by removing unnecessary menus .",0,,,,,,,,,,,,
" Surfing the net is a breeze, but I did have one  blue screen of death  when dealing with one demanding internet site .",0,,,,,,,,,,,,
Is the Trumpeter Swan the largest bird?,1,,,,,,,,,,,,
" It is comfortable, easy to drive, and fast !",0,,,,,,,,,,,,
 My only complaint with it is that the screen doesn't go back far enough .,0,,,,,,,,,,,,
 pretty decent screen quality .,0,,,,,,,,,,,,
"Did he suffer from anxiety and increasingly frequent bouts of mental illness throughout his life, and died largely unknown, at the age of 37, from a self-inflicted gunshot wound ",1,,,,,,,,,,,,
Good price   location but no thrills .,0,,,,,,,,,,,,
" I have no problems reading it in bright sunlight, but with the voice to text, the screen is almost unnecessary .",0,,,,,,,,,,,,
" I was also nervous about the fact that occasionally the image on the computer screen  shivered , although it normally recovered from that .",0,,,,,,,,,,,,
 This makes the screen much brighter and as with all new computers it seems there are always important updates .,0,,,,,,,,,,,,
" Aside from missing the turbo's acceleration, I've preferred the Accord's better mileage, handling and comfort .",0,,,,,,,,,,,,
How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain ,1,,,,,,,,,,,,
The unit worked well and I had no issue with the voice as I had my window up all the time and did not have the radio on .,0,,,,,,,,,,,,
 don t stay here unless if the Kensington location is important to you .,0,,,,,,,,,,,,
Antwerp is to the east of what river ,1,,,,,,,,,,,,
Have cymbals been used historically to suggest bacchanal?,1,,,,,,,,,,,,
 Seems like they actually stepped it down when it should have been stepped up with more features .,0,,,,,,,,,,,,
 The Italian food was superb .,0,,,,,,,,,,,,
 It has great video quality for such a small device .,0,,,,,,,,,,,,
The collective noun romp is sometimes used for a group of what ,1,,,,,,,,,,,,
" Due to being able to change the font it is also difficult to be able to read this for a class and reference page numbers from an actual book, but a search function that regular books , don't',  have more than makes up for this .",0,,,,,,,,,,,,
What arrived in Finland ,1,,,,,,,,,,,,
Does Vietnamese borrow from Latin and Greek ,1,,,,,,,,,,,,
What is a person that makes or repairs violins called ,1,,,,,,,,,,,,
What family is the panda a part of ,1,,,,,,,,,,,,
How do elephants communicate over long distances ,1,,,,,,,,,,,,
Wasn't Blaise Pascal a work of Desargues on conic sections ,1,,,,,,,,,,,,
Is one of the best known Impressionist works Renoirs 1876 Dance at Le Moulin de la Galette ,1,,,,,,,,,,,,
Did Albert Einstein keep a photograph of Faraday on his study wall ,1,,,,,,,,,,,,
" Decent speed processor, nice screen quality, great asus softwares  , and very long battery life .",0,,,,,,,,,,,,
Is the violin cello a bowed string instrument?,1,,,,,,,,,,,,
How many cymbals typically go in a drum kit ,1,,,,,,,,,,,,
Does english grammar have minimal inflection?,1,,,,,,,,,,,,
Why is a police whistle very wide for its pitch ,1,,,,,,,,,,,,
When did the first official report of kangaroo blindness take place ,1,,,,,,,,,,,,
Do worker ants have wings ,1,,,,,,,,,,,,
What is the first number on the page ,1,,,,,,,,,,,,
Were the recitations of the Ancient Greeks accompanied by lyre playing ,1,,,,,,,,,,,,
" This is definitely a modern hotel, no English charm here, but the location and the price can't be beat .",0,,,,,,,,,,,,
 Great for spot video if you do not have a camera availabe on hand .,0,,,,,,,,,,,,
"Once broken in mileage is steady at 29, 32 mpg .",0,,,,,,,,,,,,
Has swahili no diphthongs?,1,,,,,,,,,,,,
" The public areas are fine if bland, the rooms comfortable if slightly cramped, the location good for tube and bus but just a little 'distant' .",0,,,,,,,,,,,,
What was the nickname of Theodore Roosevelt's sister Anna ,1,,,,,,,,,,,,
" It plays music, videos, radio, records",0,,,,,,,,,,,,
Is Copenhagen completely surrounded with water? ,1,,,,,,,,,,,,
" The screen is too small for any meaningful work, but the apps DO work .",0,,,,,,,,,,,,
Excellent hotel in prime location .,0,,,,,,,,,,,,
" great video quality, no ear buds required internal sound system sounds great  .",0,,,,,,,,,,,,
Was Coolidge the thirteenth President of the United States ,1,,,,,,,,,,,,
" As always, the video screen is sharp and bright .",0,,,,,,,,,,,,
Does Indonesia have the world's hightest level of biodiversity ,1,,,,,,,,,,,,
The main reason for this review is to add the  broken in  gas mileage .,0,,,,,,,,,,,,
Is it true that it angered many residents of the thirteen colonies ,1,,,,,,,,,,,,
Are there today more speakers in Kenya of the Somali coast?,1,,,,,,,,,,,,
" I keep the screen brightness set at about half and easily get more than eight hours with wi, fi on .",0,,,,,,,,,,,,
" We wanted something more spacious, but this hotel had extremely convenient location and good reviews, so we decided to stay there .",0,,,,,,,,,,,,
Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town ,1,,,,,,,,,,,,
How much of the population is of white European descent?,1,,,,,,,,,,,,
Is the standard of living in San Franciscio high ,1,,,,,,,,,,,,
Do carrion beetles eat dung ,1,,,,,,,,,,,,
Is it true that agricultural expansion marked the period before 500 ,1,,,,,,,,,,,,
" Great location with cafes, restaurants and grocery stores all around .",0,,,,,,,,,,,,
Factory settings to preserve battery life have the screen luminescence set to 50% but can easily be adjusted to the necessary ambience illumination you may need .,0,,,,,,,,,,,,
How long was Lincoln's legal Career ,1,,,,,,,,,,,,
What are the oldest known musical instruments?,1,,,,,,,,,,,,
When did Coulomb return to Paris ,1,,,,,,,,,,,,
Do linguists consider Malay to be a single language ,1,,,,,,,,,,,,
Why did Avogadro lose his chair at the University of Turin ,1,,,,,,,,,,,,
 I admire engine performance and comfort while driving atleast 30 mile a day to job .,0,,,,,,,,,,,,
Had the drums been used in Sri Lanka since Before Christ ,1,,,,,,,,,,,,
"The Kindle 2 is lightweight, easy to hold, easy to read, and I love the fact that I can change the size of the font, depending on my situation .",0,,,,,,,,,,,,
Is the U.S. copyright representative for the Picasso Administration the Artists Rights Society ,1,,,,,,,,,,,,
  Gliding  can best define the comfort and quietness of the ride inside .,0,,,,,,,,,,,,
" I recommend minimizing the size of the scroll zones on the right and bottom, other wise you find the screen suddenly scrolling when you did not want it to do so .",0,,,,,,,,,,,,
On the positive side the location of Holiday Inn Forum was very handy for a conference I was attending .,0,,,,,,,,,,,,
Was Faraday born in England?,1,,,,,,,,,,,,
"How many years ago was it when Faraday wrote a letter to The Times on the subject of the foul condition of the River Thames , which resulted in an oft-reprinted cartoon in Punch?",1,,,,,,,,,,,,
When did a standard and common language become available to all Swedes ,1,,,,,,,,,,,,
": give ""please Japanese language to Mr ?",1,,,,,,,,,,,,
Is the flute a musical instrument?,1,,,,,,,,,,,,
Who was on the committee with Adams to draft  a Declaration of Independence ,1,,,,,,,,,,,,
Are dragonflies capable of walking ,1,,,,,,,,,,,,
What does Henri Becquerel do?,1,,,,,,,,,,,,
" I recommend minimizing the size of the scroll zones on the right and bottom, other wise you find the screen suddenly scrolling when you did not want it to do so .",0,,,,,,,,,,,,
" Very comfortable drive, holds the road very nicely and a blast to drive .",0,,,,,,,,,,,,
What are turtle eggs covered in when they incubate?,1,,,,,,,,,,,,
 Comfortable and quiet with excellent gas mileage .,0,,,,,,,,,,,,
"Pasan en consecuencia , las palabras que comienzan por estas dos letras , o que las contienen , a alfabetizarse en los lugares que les corresponden dentro de la c y de la l , respectivamente ?",1,,,,,,,,,,,,
Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003  ,1,,,,,,,,,,,,
What did Coolidge do after graduating from Amherst ,1,,,,,,,,,,,,
you lose those 186 pixels and even one line of a large order maintenance screen can require you to have to break the flow of productivity to scroll .,0,,,,,,,,,,,,
 The screen is very sharp and readable even with the tiny text at this size .,0,,,,,,,,,,,,
 Front seats are very uncomfortable .,0,,,,,,,,,,,,
Who died the next morning ,1,,,,,,,,,,,,
 Browsing is amazingly better by using full screen mode on browser with F11 .,0,,,,,,,,,,,,
What was Italian language`s profession?,1,,,,,,,,,,,,
Some versions of xylophones have resonators made of what ,1,,,,,,,,,,,,
"Who used hardened brushes, sticks, ",1,,,,,,,,,,,,
"Is romania -LRB- , -RRB- a country in southeastern europe ",1,,,,,,,,,,,,
 4 DO NOT GET WAX ON YOUR SCREEN .,0,,,,,,,,,,,,
" I want a netbook for portability, not screen real estate .",0,,,,,,,,,,,,
What happened in the early 20th century ,1,,,,,,,,,,,,
Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church  ,1,,,,,,,,,,,,
 Keep in mind that once you get in a room full of light or step outdoors screen reflections could become annoying .,0,,,,,,,,,,,,
Is the Giant Panda a terrestrial animal ,1,,,,,,,,,,,,
" But that aside, I like the availability of software, the new features like the improved Taskbar, Windows Peek, and the Aero environment .",0,,,,,,,,,,,,
Is the the biggest university in Jakarta the University of Indonesia,1,,,,,,,,,,,,
" Great battery life, decent sized screen, and the keyboard was large enough to be comfortable to type on .",0,,,,,,,,,,,,
" I can tell the backlight is on, but all I get is a black screen .",0,,,,,,,,,,,,
What do humans use bees for?,1,,,,,,,,,,,,
 I will NOT recommend this location .,0,,,,,,,,,,,,
What would a German call Avogadro's number ,1,,,,,,,,,,,,
When was Liechtenstein's current constitution adopted ,1,,,,,,,,,,,,
Have there been other US presidents that have visited Cuba ,1,,,,,,,,,,,,
" For a 4 cylinder engine what get, up and go,not to mention the great gas mileage .",0,,,,,,,,,,,,
What has many possible meanings?,1,,,,,,,,,,,,
When was the pan flute used in Greece ,1,,,,,,,,,,,,
What did Pascal argue was as perfect as possible?,1,,,,,,,,,,,,
Wasn't Leonardo da Vinci valued as an engineer ,1,,,,,,,,,,,,
00 dollars just to upgrade for some fancy new features .,0,,,,,,,,,,,,
"For a similarly good location  , you can stay at the London Hilton Metropole for the same price and receive much better service .",0,,,,,,,,,,,,
They were what ,1,,,,,,,,,,,,
Was the SI unit of charge named after Charles-Augustin de Coulomb ,1,,,,,,,,,,,,
"In Central and South America, what instrument was the xylophone changed into ",1,,,,,,,,,,,,
 Overall good hotel and very good location close to the tube   .,0,,,,,,,,,,,,
" I also love the small things, such as being able to download new voices, and vehicles, I plan on getting all the vehicles has on their site, because there is one for every season, for every mood, every time of year .",0,,,,,,,,,,,,
Do penguins feed on krill ,1,,,,,,,,,,,,
" I went for comfort over performance to fit it in my budget so the EX, L with the 4 cyl engine .",0,,,,,,,,,,,,
How do trumpets compensate for wolf tones?,1,,,,,,,,,,,,
 Its easy to use and love the new video feature .,0,,,,,,,,,,,,
Is James Watt French ,1,,,,,,,,,,,,
 The hotel is in an excellent location only a short walk to Gloucester Rd .,0,,,,,,,,,,,,
Who has released an album or song named Santiago?,1,,,,,,,,,,,,
Was Ford the last surviving member of the Warren Commission  ,1,,,,,,,,,,,,
The Hotel location was absolutely perfect for sightseeing and shopping .,0,,,,,,,,,,,,
Who sits at Osu Castle  ,1,,,,,,,,,,,,
Can you meet someone through attending a church?,1,,,,,,,,,,,,
 I can still make out words with the use of strong glasses and setting the font to the largest possible on the Kindle2 .,0,,,,,,,,,,,,
Are polar bears excellent swimmers ,1,,,,,,,,,,,,
" Aa keys to quickly change font size, turning on off text to speech, Pause text to speech, change speech rate and speaking voice rather than using the menu .",0,,,,,,,,,,,,
Had the language already been used as the lingua franca throughout the archipelago since the 15th century ,1,,,,,,,,,,,,
Is the mechanism in an upright piano perpendicular to its keys ,1,,,,,,,,,,,,
Did ford attend the University of Michigan ,1,,,,,,,,,,,,
How tall were the tallest prehistoric penguins ,1,,,,,,,,,,,,
Is Schloss Charlottenburg the largest existing palace in Berlin ,1,,,,,,,,,,,,
Being able to change the font sizes is awesome !,0,,,,,,,,,,,,
"Why do trumpets have a bright, loud sound ",1,,,,,,,,,,,,
Did Pascal also write in defense of the scientific method ,1,,,,,,,,,,,,
 The one problem with the video camera is it is not the easiest thing to use .,0,,,,,,,,,,,,
" Overall an above average hotel based on location and price   but not one for a romantic get, away !",0,,,,,,,,,,,,
How long has the basic design of the drum remained unchanged ,1,,,,,,,,,,,,
What type of tools do biologists use to capture wolves for tagging ,1,,,,,,,,,,,,
What is the boiling point of water dependent on?,1,,,,,,,,,,,,
"went for a city break with the family hotel good location harrods 20 mins walk,royal albert hall 10 mins,and under ground around the corner,plenty to see and do around hotel .",0,,,,,,,,,,,,
 Mileage a little disappointing .,0,,,,,,,,,,,,
 That extra space the menu and address bar take up are sorely needed on this small screen .,0,,,,,,,,,,,,
" I like this hotel due to its location, but the management need to get a grip .",0,,,,,,,,,,,,
Where was the League of Nations created?,1,,,,,,,,,,,,
 The screen is crystal clear and the voice in it is nice and loud .,0,,,,,,,,,,,,
 It looks very much like a book and is easy on the eyes .,0,,,,,,,,,,,,
What is Ottawa's population?,1,,,,,,,,,,,,
" This new one gets even better mileage, averages about 33 freeway .",0,,,,,,,,,,,,
Is Grover Cleveland honest ,1,,,,,,,,,,,,
Did Wilson's father own slaves?,1,,,,,,,,,,,,
Lunch is what ,1,,,,,,,,,,,,
 Very friendly servers and nice selection of food at a reasonable price .,0,,,,,,,,,,,,
" Hit F11 and you have full screen browsing ,  just move the cursor to the top of the screen for the controls .",0,,,,,,,,,,,,
" Some iTunes content is a little laggy if it is maximized display, but not full screen for some reason, but switching to full screen display has taken care of that issue for me .",0,,,,,,,,,,,,
"Can Regional differences be recognized by various factors : the openness of vowels , the length of the consonants , and influence of the local dialect ?",1,,,,,,,,,,,,
Was Watt ranked 22nd in Michael H. Hart 's list of the most influential figures in history  ,1,,,,,,,,,,,,
 We enjoyed the breakfast although the other evening food service was a bit skimpy .,0,,,,,,,,,,,,
 Easy to use and cool video camera !,0,,,,,,,,,,,,
Does Egypt's foreign policy operates along moderate lines ,1,,,,,,,,,,,,
Which countries established colonies in Canada ,1,,,,,,,,,,,,
Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate ,1,,,,,,,,,,,,
 So I called Garmin and ask if any fix was comming out to fix the voice .,0,,,,,,,,,,,,
" As said by others, an absolutely excellent location, on tube lines that will get you to just about anywhere .",0,,,,,,,,,,,,
Was Calvin Coolidge a governor of MassachuS08_setts ,1,,,,,,,,,,,,
Is a polar bear at high risk of extinction ,1,,,,,,,,,,,,
What is Ottawa's major league hockey team?,1,,,,,,,,,,,,
What transnational bridge was completed in 2000?,1,,,,,,,,,,,,
 The text clarity and screen sharpness of K2 is severely disappointing and produces eye fatigue .,0,,,,,,,,,,,,
Did the language lose its official status?,1,,,,,,,,,,,,
Are the most active in Damascus and Cairo?,1,,,,,,,,,,,,
"Based on the average, in what year will the next small tremor occur in Ottawa?",1,,,,,,,,,,,,
What expired on March ,1,,,,,,,,,,,,
"These projections , called papillae , have what?",1,,,,,,,,,,,,
"Regarding this topic, what did the Revolution do ",1,,,,,,,,,,,,
What lived in Columbia?,1,,,,,,,,,,,,
Do penguins have a better than average sense of hearing for birds ,1,,,,,,,,,,,,
What did Taylor and Fillmore disagree upon ,1,,,,,,,,,,,,
 My only complaint with it is that the screen doesn't go back far enough .,0,,,,,,,,,,,,
Do older pianos have more keys than modern pianos ,1,,,,,,,,,,,,
Who did Millard Fillmore fall in love with ,1,,,,,,,,,,,,
Does the giant otter live in South America?,1,,,,,,,,,,,,
" Seats are firm but not uncomfortable ,  very BMW like .",0,,,,,,,,,,,,
Had he smoked only sporadically ?,1,,,,,,,,,,,,
Name an animal that is growing in number due to recent conservation efforts,1,,,,,,,,,,,,
When did organized agriculture appear in the Nile Valley ,1,,,,,,,,,,,,
"When did Baldassare Castiglione, author of Il Cortegiano ( "" The Courtier "" ), write ",1,,,,,,,,,,,,
 I would like to read on the way but my eyes get strained if I read on a bus .,0,,,,,,,,,,,,
 It seems to be caused by Garmin decreasing the file sizes and quality of the voice files .,0,,,,,,,,,,,,
" All, in, all this hotel was a great choice for the price and location .",0,,,,,,,,,,,,
What is the population of Chinese language?,1,,,,,,,,,,,,
" Fun to drive, economic, very comfortable, and excellent on the highway .",0,,,,,,,,,,,,
Did Norman Rockwell spend the winter months as artist-in-residence at Otis College of Art as well as Design ,1,,,,,,,,,,,,
Wasn't Leonardo da Vinci born on April 15 ,1,,,,,,,,,,,,
Was Isaac Newton religious ,1,,,,,,,,,,,,
Is Canada bilingual ,1,,,,,,,,,,,,
Were Newton's religious views consistent with Anglicanism ,1,,,,,,,,,,,,
" I mostly find that when I make typos, it's not because of the keyboard, it's because of the smallness of the screen, , I just can't see what I'm doing as well as a laptop .",0,,,,,,,,,,,,
"The hotel was a great location just 1 block from Tube, Grocery Stores, Pharmacy and 2 blocks from Natural History and Victoria   Albert Museums .",0,,,,,,,,,,,,
Is it true that he published a collection in 1738 ,1,,,,,,,,,,,,
Are penguins at risk ,1,,,,,,,,,,,,
Is the Giant Panda a mammal ,1,,,,,,,,,,,,
Where was Isaac Newton born ,1,,,,,,,,,,,,
The screen resolution isn't the highest you can get but I found that the higher resolution netbooks usually had older prcessors for some reason .,0,,,,,,,,,,,,
"0 out of 5 stars XP speed & stability, Vista, like features without the headaches !",0,,,,,,,,,,,,
Why wasn't Romania neutral during World War II ,1,,,,,,,,,,,,
" On a full charge, with wireless on, screen brightness on medium, I get a reported 8 .",0,,,,,,,,,,,,
Wasn't Alessandro Volta born in Como ,1,,,,,,,,,,,,
